epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.113,1.4802,2.12389,1.3772,0.35827,0.46947,0.29014,0.12597,1.51222,2.53215,1.39533,0.000984127,0.000984127,0.000984127
2,204.563,1.49027,1.69701,1.40355,0.34671,0.48316,0.31719,0.15734,1.58133,2.39888,1.58601,0.00132937,0.00132937,0.00132937
3,301.495,1.40533,1.53873,1.34315,0.74432,0.69789,0.77444,0.49638,1.13345,1.43596,1.1667,0.00068,0.00068,0.00068
